Code,Title,Extension
ro,"Romanian, Moldavian, Moldovan",OCDS 1.2 draft extension
ru,Russian,OCDS 1.2 draft extension
rw,Kinyarwanda,OCDS 1.2 draft extension
sa,Sanskrit,OCDS 1.2 draft extension
sc,Sardinian,OCDS 1.2 draft extension
sd,Sindhi,OCDS 1.2 draft extension
se,Northern Sami,OCDS 1.2 draft extension
sg,Sango,OCDS 1.2 draft extension
si,"Sinhala, Sinhalese",OCDS 1.2 draft extension
sk,Slovak,OCDS 1.2 draft extension
sl,Slovenian,OCDS 1.2 draft extension
sm,Samoan,OCDS 1.2 draft extension
sn,Shona,OCDS 1.2 draft extension
so,Somali,OCDS 1.2 draft extension
sq,Albanian,OCDS 1.2 draft extension
sr,Serbian,OCDS 1.2 draft extension
ss,Swati,OCDS 1.2 draft extension
st,Southern Sotho,OCDS 1.2 draft extension
su,Sundanese,OCDS 1.2 draft extension
sv,Swedish,OCDS 1.2 draft extension
sw,Swahili,OCDS 1.2 draft extension
ta,Tamil,OCDS 1.2 draft extension
te,Telugu,OCDS 1.2 draft extension
tg,Tajik,OCDS 1.2 draft extension
th,Thai,OCDS 1.2 draft extension
ti,Tigrinya,OCDS 1.2 draft extension
tk,Turkmen,OCDS 1.2 draft extension
tl,Tagalog,OCDS 1.2 draft extension
tn,Tswana,OCDS 1.2 draft extension
to,Tonga,OCDS 1.2 draft extension
tr,Turkish,OCDS 1.2 draft extension
ts,Tsonga,OCDS 1.2 draft extension
tt,Tatar,OCDS 1.2 draft extension
tw,Twi,OCDS 1.2 draft extension
ty,Tahitian,OCDS 1.2 draft extension
ug,"Uighur, Uyghur",OCDS 1.2 draft extension
uk,Ukrainian,OCDS 1.2 draft extension
ur,Urdu,OCDS 1.2 draft extension
uz,Uzbek,OCDS 1.2 draft extension
ve,Venda,OCDS 1.2 draft extension
vi,Vietnamese,OCDS 1.2 draft extension
vo,Volapük,OCDS 1.2 draft extension
wa,Walloon,OCDS 1.2 draft extension
wo,Wolof,OCDS 1.2 draft extension
xh,Xhosa,OCDS 1.2 draft extension
yi,Yiddish,OCDS 1.2 draft extension
yo,Yoruba,OCDS 1.2 draft extension
za,"Zhuang, Chuang",OCDS 1.2 draft extension
zh,Chinese,OCDS 1.2 draft extension
zu,Zulu,OCDS 1.2 draft extension
